SamplesperPixel,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,RepetitionTime,EchoTime,EchoTrainLength,InversionTime,AngioFlag,NumberofAverages,ImagingFrequency,MagneticFieldstrength,SpacingBetweenSlices,PercentSampling,PercentPhaseFieldofView,PixelBandwidth,ReconstructionDiameter,PhaseEncodingDirection,FlipAngle,SAR,VariableFlipAngleFlag,SeriesDescription,SHStationName
1,NULL,SS,NULL,2D,12000,28.6,1,0,N,2,63.823773,1.5,4.5,100,100,1304.69,220,COL,90,0.00270756,N,SUSCEPTIBILITY EPI,MR1WA
1,GR,NULL,NULL,3D,22,6,1,0,N,1,63.823755,1.5,1.2,100,100,114.922,220,ROW,20,0.0435856,N,Sag SPGR,MR1WA
1,GR,SS,NULL,3D,6.768,2.5,1,NULL,N,4,63.823695,1.5,NULL,100,100,244.1410124,NULL,ROW,65,1.34916,N,SAG REFORMATT FIESTA,MR1WA
1,GR,NULL,NULL,3D,22,6,1,NULL,N,1,63.823755,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0435856,N,REFORMAT COR SPGR,MR1WA
1,GR,NULL,NULL,3D,22,6,1,NULL,N,1,63.823755,1.5,NULL,100,100,57.46099725,NULL,ROW,20,0.0435856,N,REFORMAT AXIALSPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,DWI,MR1WA
1,GR,SS,NULL,3D,6.768,2.5,1,NULL,N,4,63.823695,1.5,NULL,100,100,244.1410124,NULL,ROW,65,1.34916,N,COR REFORMATT FIESTA,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.372,1,0,N,1,63.823748,1.5,8,100,100,976.562,300,ROW,70,1.17814,N,Calibration Scan,MR1WA
1,SE,SK,NULL,2D,7083.34,111.648,12,0,N,1,63.823755,1.5,4.5,100,75,27.1094,200,ROW,90,0.8905,N,AX T2,MR1WA
